能源用戶名稱,所在區域
台橡股份有限公司高雄廠,高雄市大社鄉
福壽實業股份有限公司高雄廠,高雄市橋頭鄉
鑫陽企業股份有限公司鋼一廠,高雄市橋頭鄉
台灣愛生雅股份有限公司,高雄市永安鄉
日嘉工業股份有限公司,高雄市永安鄉
立大農畜興業股份有限公司冷凍食品廠,高雄市路竹鄉
元鴻發展股份有限公司,高雄市岡山鎮
東豐纖維企業股份有限公司路竹織染廠,高雄市路竹鄉
長興材料工業股份有限公司路竹廠,高雄市路竹鄉
台榮產業股份有限公司高雄廠,高雄市路竹鄉
環球水泥股份有限公司阿蓮廠,高雄市阿蓮鄉
國信食品股份有限公司高雄廠,高雄市湖內鄉
台灣省自來水公司第七區管理處東港溪抽水站,屏東縣新園鄉
台灣水泥股份有限公司花蓮廠,花蓮縣花蓮市
亞洲水泥股份有限公司花蓮製造廠,花蓮縣新城鄉
中華紙漿股份有限公司,花蓮縣吉安鄉
台灣森永製果股份有限公司北投工廠,臺北市北投區
隆立紡織股份有限公司,南投縣草屯鎮
建福紡織股份有限公司,南投縣草屯鎮
松和工業股份有限公司,南投縣南投市
台灣菸酒菸酒股份有限公司南投酒廠,南投縣南投市
台灣銅箔股份有限公司,南投縣南投市
中華紙漿股份有限公司久堂廠,高雄市大樹鄉
台灣自來水公司第七區管理處坪頂給水廠,高雄市大樹鄉
台灣苯乙烯工業股份有限公司高雄廠,高雄市林園鄉
台灣科思創股份有限公司 林園廠,高雄市林園鄉
中國合成橡膠股份有限公司碳煙廠,高雄市林園鄉
和益化學工業股份有限公司,高雄市林園鄉
東隆紙業股份有限公司,高雄市大寮鄉
台灣自來水公司第七區管理處鳳山給水廠,高雄市小港區
南帝化學工業股份有限公司,高雄市林園鄉
台達化學工業股份有限公司林園廠,高雄市林園鄉
亞洲聚合股份有限公司林園廠,高雄市林園鄉
聯成化學科技股份有限公司林園廠,高雄市林園鄉
台灣中油股份有限公司石化事業部林園石化廠,高雄市林園鄉
東聯化學股份有限公司高雄林園廠,高雄市林園鄉
台灣糖業股份有限公司小港廠,高雄市小港區
中鋼機械股份有限公司,高雄市小港區
台灣國際造船股份有限公司高雄廠,高雄市小港區
中國鋼鐵股份有限公司,高雄市小港區
東和鋼鐵企業股份有限公司高雄廠,高雄市小港區
協勝發鋼鐵廠股份有限公司,高雄市小港區
龍慶鋼鐵企業股份有限公司,高雄市小港區
海光企業股份有限公司,高雄市小港區
漢泰鋼鐵廠股份有限公司,高雄市小港區
世全鋼鐵企業股份有限公司,高雄市小港區
大強鋼鐵鑄造股份有限公司,高雄市小港區
中鋼鋁業股份有限公司臨海廠,高雄市小港區
林商行強化安全玻璃廠股份有限公司,高雄市小港區
中國石油化學工業開發股份有限公司小港廠,高雄市小港區
台灣中油煉製事業部大林煉油廠,高雄市小港區
長春人造樹脂廠股份有限公司高雄廠,高雄市仁武鄉
台灣塑膠工業股份有限公司pvc廠,高雄市仁武鄉
台灣塑膠工業股份有限公司仁武廠(VCM廠),高雄市仁武鄉
台灣塑膠工業股份有限公司仁武台麗朗廠,高雄市仁武鄉
台灣塑膠工業股份有限公司仁武廠(公用廠),高雄市仁武鄉
台灣塑膠工業股份有限公司仁武廠(鹼廠),高雄市仁武鄉
台灣塑膠工業股份有限公司仁武廠(HCFC廠),高雄市仁武鄉
台灣塑膠工業股份有限公司仁武VCM廠林園三課,高雄市林園鄉
高福化學工業股份有限公司高雄工廠,高雄市仁武鄉
三永裕鐵工廠股份有限公司,高雄市仁武鄉
台灣聚合化學品股份有限公司高雄廠,高雄市仁武鄉
國喬石油化學股份有限公司,高雄市大社鄉
開發工業股份有限公司,高雄市仁武鄉
華榮電線電纜股份有限公司,高雄市仁武鄉
自來水公司第七區管理處(大崗山給水廠),高雄市路竹鄉
福懋興業股份有限公司,雲林縣斗六市
大山電線電纜股份有限公司,雲林縣斗六市
味全食品工業股份有限公司斗六總廠,雲林縣斗六市
味王股份有限公司豐田廠,雲林縣大埤鄉
台灣菸酒股份有限公司隆田酒廠,臺南市官田區
台灣自來水公司第六區管理處烏山頭給水廠,臺南市官田區
台灣史谷脫紙業股份有限公司新營廠,臺南市新營區
台灣紙業股份有限公司新營紙廠,臺南市新營區
台灣糖業股份有限公司新營副產加工廠,臺南市柳營區
臺灣菸酒股份有限公司屏東酒廠,屏東縣內埔鄉
中華紙漿股份有限公司台東廠,臺東縣台東市
南亞塑膠公司台染廠,新北市樹林區
台灣省自來水公司第二區管理處(大湳給水廠),桃園市桃園區
新記企業股份有限公司,桃園市楊梅區
華淵電機工業股份有限公司湖口工廠,新竹縣香山區
大耀紡織股份有限公司,彰化縣鹿港鎮
美利達工業股份有限公司,彰化縣大村鄉
奇美實業股份有限公司,臺南市仁德區
煌昇機械企業股份有限公司,臺南市鹽水區
台灣普利司通股份有限公司新竹工廠,新竹縣香山區
大東樹脂化學股份有限公司高雄大發廠,高雄市大寮鄉
橡樹工業材料股份有限公司,桃園市中壢區
光明絲織廠股份有限公司,桃園市觀音區
四維創新材料股份有限公司,新竹縣香山區
高冠企業股份有限公司南投廠,南投縣南投市
泰慶皮革塑膠工業股份有限公司,臺南市麻豆區
復盛應用科技股份有限公司一廠,桃園市桃園區
義美食品股份有限公司南崁廠,桃園市蘆竹區
燁輝企業股份有限公司冷軋鋼板廠,高雄市橋頭鄉
台一國際股份有限公司,新竹縣香山區
光隆企業股份有限公司,花蓮縣新城鄉
青德鋼鐵股份有限公司,臺中市霧峰區
臺灣自來水公司第七區管理處澄清湖給水廠,高雄市鳥松鄉
福壽實業股份有限公司台中港廠,臺中市梧棲區
台灣電力股份有限公司通霄發電廠,苗栗縣通霄鎮
中國製釉股份有限公司,新竹縣竹東鎮
台灣鈣業股份有限公司,宜蘭縣蘇澳鎮
皇鎰實業有限公司,臺中市南屯區
慧國工業股份有限公司總廠,臺中市西屯區
佳和實業股份有限公司染整廠,臺南市新市區
李長榮化學工業股份有限公司林園廠,高雄市林園鄉
欣建工業股份有限公司,高雄市橋頭鄉
台灣省自來水公司第二區管理處(大湳給水廠),桃園市桃園區
三洋紡織纖維股份有限公司,桃園市桃園區
台灣玻璃工業股份有限公司台中廠,臺中市梧棲區
華豐橡膠工業股份有限公司花壇工廠,彰化縣大村鄉
官田鋼鐵股份有限公司,臺南市永康區
大中鋼鐵股份有限公司南投廠,南投縣名間鄉
大億交通工業製造股份有限公司,臺南市南區
台灣矢崎股份有限公司屏東工廠,屏東縣鹽埔鄉
台鍛工業股份有限公司,南投縣南投市
金吉順實業股份有限公司,高雄市鳳山市
國聯矽業化學股份有限公司,桃園市大園區
李長榮化學工業股份有限公司高雄廠,高雄市小港區
台裕橡膠工業股份有限公司中壢廠,桃園市中壢區
中光橡膠工業股份有限公司,桃園市平鎮區
源生陶瓷股份有限公司,新北市鶯歌區
廣源造紙股份有限公司台中廠,臺中市大甲區
台灣石化合成股份有限公司林園廠,高雄市林園鄉
聯華氣體工業股份有限公司林園工廠,高雄市林園鄉
臺北自來水事業處直潭淨水場,新北市新店區
信嘉鋁業股份有限公司,桃園市楊梅區
萬洲化學股份有限公司楊梅廠(一廠),桃園市楊梅區
益興電子股份有限公司,桃園市大溪區
順德工業股份有限公司,彰化縣彰化市
廣泰金屬工業股份有限公司,臺南市官田區
光寶科技股份有限公司,新北市中和區
臺灣永光化學工業股份有限公司第一廠,桃園市大園區
彩力染整股份有限公司,桃園市蘆竹區
日月光半導體製造股份有限公司,高雄市楠梓區
元鴻發展股份有限公司,高雄市岡山鎮
台灣淡水河谷股份有限公司,高雄市大寮鄉
建大工業股份有限公司雲林廠,雲林縣莿桐鄉
怡華實業股份有限公司(公用廠),臺南市官田區
芳泉工業股份有限公司新營廠,臺南市官田區
東元電機股份有限公司觀音廠,桃園市觀音區
強盛染整股份有限公司,桃園市大園區
昇拓冶金工業股份有限公司,臺中市大肚區
光隆股份有限公司,臺中市大雅區
承鋒鑄造工業股份有限公司,臺中市豐原區
信元鋁業股份有限公司,高雄市永安鄉
大統益股份有限公司,臺南市官田區
萬泰科技股份有限公司,桃園市中壢區
台灣卜蜂企業股份有限公司台中廠,臺中市梧棲區
晉禾企業股份有限公司,高雄市岡山鎮
台三工業股份有限公司,臺中市大安區
永裕塑膠工業股份有限公司仁德廠,臺南市仁德區
華德美股份有限公司,彰化縣埔心鄉
臺灣捷康綜合有限公司,高雄市楠梓區
瑞利企業股份有限公司,高雄市仁武鄉
源盛爐機械股份有限公司新豐廠,新竹縣新豐鄉
英發企業股份有限公司,彰化縣福興鄉
億進實業股份有限公司,彰化縣永靖鄉
大宇紡織股份有限公司第二廠,桃園市蘆竹區
裕邦窯業股份有限公司,新北市鶯歌區
建大工業股份有限公司,彰化縣員林市
寶成工業股份有限公司,彰化縣福興鄉
盛餘股份有限公司,高雄市小港區
進春紙器工業股份有限公司,苗栗縣竹南鎮
尚益染整加工股份有限公司大園廠,桃園市大園區
光榮工業股份有限公司,臺中市大里區
金車股份有限公司中壢廠,桃園市中壢區
國成麵粉股份有限公司,桃園市楊梅區
台灣塑膠工業股份有限公司林園廠(公用廠),高雄市林園鄉
台灣塑膠工業股份有限公司林園AE廠,高雄市林園鄉
台灣塑膠工業股份有限公司林園廠(PE廠),高雄市林園鄉
台灣塑膠工業股份有限公司林園塑膠廠,高雄市林園鄉
台灣塑膠工業股份有限公司聚丙烯事業部林園PP廠,高雄市林園鄉
第一伸銅科技股份有限公司臨海廠,高雄市小港區
光泉牧場股份有限公司大園廠,桃園市大園區
康舒科技股份有限公司,新北市淡水區
大連化學工業股份有限公司高雄廠,高雄市大社鄉
大亞電線電纜股份有限公司,臺南市關廟區
華泰電子股份有限公司,高雄市楠梓區
華泰電子股份有限公司,高雄市楠梓區
員林紡織股份有限公司二廠,彰化縣埔心鄉
