"","U_ID","CODEBASE","CODE1","CODE2","VILLCODE","VILLAGE_ID","VILLAGE","TOWN_ID","TOWN","COUNTY_ID","COUNTY","USE_CODE","LINE","SPECODE","X","Y","AREA","M","USECODE"
"2830",1624,"A6312-1122-00","A6312-83-007","A6312-83","A6312-001-00","001","建民里","63000120","北投區","63000","臺北市","03","05",NA,302377.66158,2777701.90531,2833.70032,NA,NA
"2831",1625,"A6311-0480-00","A6311-37-002","A6311-37","A6311-035-00","035","蘭興里","63000110","士林區","63000","臺北市","03","05",NA,302686.14799,2777712.91495,6351.76719,NA,NA
"2832",1626,"A6311-0494-00","A6311-32-006","A6311-32","A6311-024-00","024","富洲里","63000110","士林區","63000","臺北市","03","02",NA,298888.40588,2777667.30201,22711.81815,NA,NA
"2833",1627,"A6311-0488-00","A6311-31-008","A6311-31","A6311-035-00","035","蘭興里","63000110","士林區","63000","臺北市","01","02",NA,302809.23747,2777694.15726,7643.85304,NA,NA
"2834",1628,"A6312-1141-00","A6312-81-009","A6312-81","A6312-019-00","019","洲美里","63000120","北投區","63000","臺北市","06","12",NA,300521.95039,2777502.34424,114040.84661,NA,NA
"2835",1629,"A6311-0482-00","A6311-34-006","A6311-34","A6311-029-00","029","聖山里","63000110","士林區","63000","臺北市","03","05",NA,303581.62355,2777704.86158,1766.06504,NA,NA
"2836",1630,"A6311-0489-00","A6311-35-004","A6311-35","A6311-025-00","025","岩山里","63000110","士林區","63000","臺北市","03","05",NA,303722.10582,2777687.7473,6043.61021,NA,NA
"2837",1781,"A6311-0610-00","A6311-48-004","A6311-48","A6311-026-00","026","名山里","63000110","士林區","63000","臺北市","03","05",NA,303325.51497,2777125.58354,4855.64561,NA,NA
"2838",1782,"A6311-0613-00","A6311-47-004","A6311-47","A6311-027-00","027","德行里","63000110","士林區","63000","臺北市","03","05",NA,303012.62252,2777118.55373,5458.01367,NA,NA
"2839",1783,"A6311-0618-00","A6311-49-003","A6311-49","A6311-028-00","028","德華里","63000110","士林區","63000","臺北市","03","05",NA,302595.2088,2777073.87236,6754.16532,NA,NA
"2840",1784,"A6311-0623-00","A6311-60-003","A6311-60","A6311-025-00","025","岩山里","63000110","士林區","63000","臺北市","15","05",NA,303979.6501,2777068.01488,37087.42476,NA,NA
"2841",1785,"A6311-0615-00","A6311-47-004","A6311-47","A6311-027-00","027","德行里","63000110","士林區","63000","臺北市","03","02",NA,302942.14007,2777094.3495,3676.06025,NA,NA
"2842",1786,"A6311-0619-00","A6311-48-007","A6311-48","A6311-026-00","026","名山里","63000110","士林區","63000","臺北市","03","05",NA,303450.25094,2777068.29366,8155.87095,NA,NA
"2843",1787,"A6311-0745-00","A6311-60-007","A6311-60","A6311-023-00","023","福安里","63000110","士林區","63000","臺北市","12","05","行水區",299499.5725,2776569.5156,414528.44269,NA,NA
"2844",1788,"A6311-0617-00","A6311-48-004","A6311-48","A6311-026-00","026","名山里","63000110","士林區","63000","臺北市","03","01",NA,303205.7749,2777086.32374,7458.2773,NA,NA
"2845",1789,"A6311-0628-00","A6311-41-006","A6311-41","A6311-023-00","023","福安里","63000110","士林區","63000","臺北市","03","05",NA,300022.47683,2777012.44497,8168.31318,NA,NA
"2846",1790,"A6311-0616-00","A6311-48-006","A6311-48","A6311-026-00","026","名山里","63000110","士林區","63000","臺北市","03","05",NA,303339.35403,2777091.05146,3107.61929,NA,NA
"2847",1791,"A6311-0621-00","A6311-47-005","A6311-47","A6311-027-00","027","德行里","63000110","士林區","63000","臺北市","03","05",NA,302828.94959,2777066.39133,11032.34125,NA,NA
"2848",1792,"A6311-0625-00","A6311-47-006","A6311-47","A6311-027-00","027","德行里","63000110","士林區","63000","臺北市","03","05",NA,303002.4901,2777057.04542,9299.50112,NA,NA
"2849",1941,"A6310-0018-00","A6310-01-006","A6310-01","A6310-012-00","012","大湖里","63000100","內湖區","63000","臺北市","11","05",NA,311407.50458,2776039.86236,439238.52911,NA,NA
